id,url,name,type,language,genres,status,runtime,averageRuntime,premiered,ended,officialSite,schedule_time,schedule_days,rating,weight,summary,webChannel_name,webChannel_site,dvd_country,externals_tvrage,externals_thetvdb,externals_imdb,updated
71745,https://www.tvmaze.com/shows/71745/vip-only,VIP Only,Scripted,Chinese,"['Drama', 'Romance']",Ended,,23.0,2023-11-24,2024-05-17,https://vidol.tv/programmes/5682,20:00,['Friday'],7.0,36,"<p>Gu Jing owns and runs a retro-style restaurant known for its great cooking, and the quiet danmei writer Liu Li is a frequent customer. Liu Li's love interests become the protagonists of his stories, and despite his relationships not lasting long, he always confides in Gu Jing through every breakup. However, Liu Li's own feelings start to change over time.</p>",Vidol,,,,,,1715974587
72457,https://www.tvmaze.com/shows/72457/top-5-beatdown,Top 5 Beatdown,Panel Show,English,,Running,,,2020-02-07,,https://www.youtube.com/playlist?list=PL8rSRNukjnn6QCO4xjrox7_7BvVZiI5Xp,,['Friday'],,6,"<p>Ryan and Shane compare asinine top 5 lists with a topical expert, inspiring surprisingly heated debate.</p>",YouTube,https://www.youtube.com,,,429352.0,tt23787700,1735996111
73723,https://www.tvmaze.com/shows/73723/lol-den-der-ler-sidst,LOL: Den der ler sidst,Game Show,Danish,['Comedy'],To Be Determined,,29.0,2023-12-29,,https://www.primevideo.com/detail/0GDE3FNB890JS5FVSU8YO74R32,,,,23,"<p>100.000 DKK for a charitable purpose is at stake, when ten of Denmark's funniest comedians compete to be the last one laughing in a competition where you're not allowed to laugh.</p>",Prime Video,https://www.primevideo.com,,,443617.0,tt30323971,1734188391
73832,https://www.tvmaze.com/shows/73832/perilloor-premier-league,Perilloor Premier League,Scripted,Malayalam,,To Be Determined,,36.0,2024-01-05,,https://www.hotstar.com/gb/tv/perilloor-premier-league/1260158500,,['Friday'],,7,"<p>Following her childhood crush, Malavika comes to the Perilloor village. Much to her dismay, the kooky natives force her to fight in the panchayat elections.</p>",Disney+ Hotstar,,,,443195.0,tt27349179,1704645752
74756,https://www.tvmaze.com/shows/74756/lol-den-som-ler-sist-norge,LOL: Den som ler sist - Norge,Game Show,Norwegian,['Comedy'],To Be Determined,,32.0,2023-12-29,,https://www.primevideo.com/detail/LOL-Last-One-Laughing---Norway/0KX4HE2KYYZTM9IERBJY54AWO3,,,,11,"<p>Sigrid Bonde Tusvik gatheres ten of Norway's funniest people, put them in a room, and dare them not to laugh for six hours, whilst doing all they can to make the other nine burst into laughter. The winner is the Last One Laughing, leaving the house with 100 000 NOK for their chosen charity.</p>",Prime Video,https://www.primevideo.com,,,443883.0,tt30421302,1734225263
78746,https://www.tvmaze.com/shows/78746/all-town-arent-we,All Town Aren't We,Documentary,English,['Sports'],Ended,,35.0,2024-01-05,2024-01-05,https://www.primevideo.com/detail/All-Town-Arent-We/0IHKCAS3I3RUXUTFZPJFJLX4WA,,,,7,"<p>Grimsby Town FC, once a high-flying football club with a proud history, is now on the brink of relegation from the Football League. The impending threat of semi-professional football looms on for not just the club, but an entire community. Witness one of the most breathtaking sporting stories of all time play out at Grimsby Town FC.</p>",Prime Video,https://www.primevideo.com,,,447439.0,tt28223752,1722683838
79454,https://www.tvmaze.com/shows/79454/we-never-stop,We Never Stop,Reality,Chinese,,To Be Determined,,,2023-11-24,,,,,,41,"<p>The program brings together 100 Chinese physical fitness experts to compete in an undifferentiated physical fitness competition, and ultimately determines a champion to become the ""strongest body"" of the year.</p>",iQIYI,https://www.iq.com/,,,447745.0,,1725782243
80910,https://www.tvmaze.com/shows/80910/cocovoit,Cocovoit,Scripted,French,,Running,2.0,2.0,2016-06-14,,https://www.youtube.com/channel/UCHVxCo7tMNY6OrjVnJct--A,,,,1,,YouTube,https://www.youtube.com,,,322332.0,tt5892590,1736442374
81749,https://www.tvmaze.com/shows/81749/os-eleitos,Os Eleitos,Scripted,Portuguese,"['Drama', 'Sports']",Running,,44.0,2023-12-29,,https://opto.sic.pt/series/os-eleitos/ddccc467-9a2d-4281-bf86-026eedb73b38,,['Friday'],,2,,OPTO | SIC,,,,443052.0,tt29615161,1735480055
55961,https://www.tvmaze.com/shows/55961/mickey-mouse-funhouse,Mickey Mouse Funhouse,Animation,English,['Children'],Running,,14.0,2021-07-16,,https://disneynow.com/shows/mickey-mouse-funhouse,,,,85,"<p>The whimsical animated series <b>Mickey Mouse Funhouse</b> introduces preschoolers' first pal, Mickey Mouse, and his friends – Minnie, Goofy, Donald, Daisy and Pluto – to Funny, an enchanted talking playhouse, who takes the Sensational Six on adventures of all types to unique worlds that inspire the imagination. Designed to inspire kids to expand their creative play, encourage wish fulfillment and impart lessons of friendship and ingenuity.</p>",,,,,405715.0,tt13262134,1737246390
62418,https://www.tvmaze.com/shows/62418/trailer-park-boys-park-after-dark,Trailer Park Boys: Park After Dark,Talk Show,English,['Comedy'],Running,,30.0,2019-04-05,,https://www.swearnet.com/shows/park-after-dark,,['Friday'],,65,"<p>Hang out with Ricky, Julian and Bubbles in Ricky's kitchen, smoking, drinking and talking about whatever the hell pops up in their fucked up brains.</p>",SwearNet,https://www.swearnet.com,,,438000.0,tt12107408,1738992895
